,0
2016-05-18 12:00:01-07:00,9581792.202788254
2016-05-18 12:00:02-07:00,9564495.68561238
2016-05-18 12:00:03-07:00,9575852.40325878
2016-05-18 12:00:04-07:00,9587531.450700898
2016-05-18 12:00:05-07:00,9600973.890529247
2016-05-18 12:00:06-07:00,9590385.647964938
2016-05-18 12:00:07-07:00,9590206.959359946
2016-05-18 12:00:08-07:00,9572199.190509383
2016-05-18 12:00:09-07:00,9567714.389392573
2016-05-18 12:00:10-07:00,9548454.915598689
2016-05-18 12:00:11-07:00,9574895.733780412
2016-05-18 12:00:12-07:00,9569483.126967957
2016-05-18 12:00:13-07:00,9565942.281931989
2016-05-18 12:00:14-07:00,9554216.907317668
2016-05-18 12:00:15-07:00,9576087.367461892
2016-05-18 12:00:16-07:00,9567935.550492631
2016-05-18 12:00:17-07:00,9597211.601856152
2016-05-18 12:00:18-07:00,9594054.493642101
2016-05-18 12:00:19-07:00,9638275.557785077
2016-05-18 12:00:20-07:00,9643215.678406091
2016-05-18 12:00:21-07:00,9631818.549672315
2016-05-18 12:00:22-07:00,9627397.138245828
2016-05-18 12:00:23-07:00,9642369.1577841
2016-05-18 12:00:24-07:00,9642426.4664678
2016-05-18 12:00:25-07:00,9650736.366133878
2016-05-18 12:00:26-07:00,9663633.977210566
2016-05-18 12:00:27-07:00,9666778.516158413
2016-05-18 12:00:28-07:00,9656670.980221447
2016-05-18 12:00:29-07:00,9668430.25144915
2016-05-18 12:00:30-07:00,9659121.344068855
2016-05-18 12:00:31-07:00,9663731.109012099
2016-05-18 12:00:32-07:00,9679319.716238478
2016-05-18 12:00:33-07:00,9672388.749106616
2016-05-18 12:00:34-07:00,9677941.025919126
2016-05-18 12:00:35-07:00,9693077.183506703
2016-05-18 12:00:36-07:00,9707100.544307785
2016-05-18 12:00:37-07:00,9697238.315380633
2016-05-18 12:00:38-07:00,9684364.254346695
2016-05-18 12:00:39-07:00,9691755.032225775
2016-05-18 12:00:40-07:00,9713433.582712729
2016-05-18 12:00:41-07:00,9694577.889014175
2016-05-18 12:00:42-07:00,9702921.91465942
2016-05-18 12:00:43-07:00,9719836.069309536
2016-05-18 12:00:44-07:00,9710989.797414467
2016-05-18 12:00:45-07:00,9708462.696139555
2016-05-18 12:00:46-07:00,9704954.659943176
2016-05-18 12:00:47-07:00,9715074.879240263
2016-05-18 12:00:48-07:00,9694392.9030665
2016-05-18 12:00:49-07:00,9704086.669048363
2016-05-18 12:00:50-07:00,9705224.655864509
2016-05-18 12:00:51-07:00,9707096.363670742
2016-05-18 12:00:52-07:00,9692311.398864454
2016-05-18 12:00:53-07:00,9696333.537416434
2016-05-18 12:00:54-07:00,9721170.566951038
2016-05-18 12:00:55-07:00,9717999.418942166
2016-05-18 12:00:56-07:00,9722691.83145722
2016-05-18 12:00:57-07:00,9734485.768336585
2016-05-18 12:00:58-07:00,9729458.789529094
2016-05-18 12:00:59-07:00,9746176.331598558
2016-05-18 12:01:00-07:00,9748881.67407879
2016-05-18 12:01:01-07:00,9746850.186953405
2016-05-18 12:01:02-07:00,9756007.572137993
2016-05-18 12:01:03-07:00,9758962.365856884
2016-05-18 12:01:04-07:00,9749008.993565364
2016-05-18 12:01:05-07:00,9737496.725475661
2016-05-18 12:01:06-07:00,9733371.08047825
2016-05-18 12:01:07-07:00,9742797.74631482
2016-05-18 12:01:08-07:00,9716022.626780929
2016-05-18 12:01:09-07:00,9720318.048665393
2016-05-18 12:01:10-07:00,9706693.276983216
2016-05-18 12:01:11-07:00,9725102.44621313
2016-05-18 12:01:12-07:00,9716016.9415446
2016-05-18 12:01:13-07:00,9707367.293908771
2016-05-18 12:01:14-07:00,9699630.880762443
2016-05-18 12:01:15-07:00,9711598.011246804
2016-05-18 12:01:16-07:00,9722232.436560623
2016-05-18 12:01:17-07:00,9707756.006382724
2016-05-18 12:01:18-07:00,9722717.292290654
2016-05-18 12:01:19-07:00,9723478.399654873
2016-05-18 12:01:20-07:00,9729503.8166149
2016-05-18 12:01:21-07:00,9742203.67050032
2016-05-18 12:01:22-07:00,9735636.274229197
2016-05-18 12:01:23-07:00,9738098.12473616
2016-05-18 12:01:24-07:00,9716775.379772484
2016-05-18 12:01:25-07:00,9720977.824975746
2016-05-18 12:01:26-07:00,9737331.3777934
2016-05-18 12:01:27-07:00,9738870.024300246
2016-05-18 12:01:28-07:00,9737705.110595072
2016-05-18 12:01:29-07:00,9755211.552851107
2016-05-18 12:01:30-07:00,9748751.540322794
2016-05-18 12:01:31-07:00,9754822.86863467
2016-05-18 12:01:32-07:00,9751373.490120536
2016-05-18 12:01:33-07:00,9751398.464473281
2016-05-18 12:01:34-07:00,9745799.676055588
2016-05-18 12:01:35-07:00,9764313.260853222
2016-05-18 12:01:36-07:00,9752438.737482527
2016-05-18 12:01:37-07:00,9749586.106428992
2016-05-18 12:01:38-07:00,9741501.686273018
2016-05-18 12:01:39-07:00,9755698.910592481
2016-05-18 12:01:40-07:00,9762739.28216721
2016-05-18 12:01:41-07:00,9757914.937653232
2016-05-18 12:01:42-07:00,9749348.639759803
2016-05-18 12:01:43-07:00,9748371.929384058
2016-05-18 12:01:44-07:00,9737817.994412323
2016-05-18 12:01:45-07:00,9748114.998990526
2016-05-18 12:01:46-07:00,9732586.784694893
2016-05-18 12:01:47-07:00,9726182.69202502
2016-05-18 12:01:48-07:00,9722154.494029328
2016-05-18 12:01:49-07:00,9733033.521467445
2016-05-18 12:01:50-07:00,9758236.934171101
2016-05-18 12:01:51-07:00,9745062.15970292
2016-05-18 12:01:52-07:00,9730859.441901501
